feature,mean_abs_shap
text_length,3.517767359735425
days_since_last_use,0.3680195619439748
high_priority_tickets,0.3011781662004389
avg_first_response_mins,0.2766301742369417
referral_source_organic,0.2742236779433968
avg_satisfaction_score,0.2300774852242767
beta_feature_usage,0.22285368637915776
seats,0.2100337647259142
subscription_days,0.19709524597910055
plan_tier_Enterprise,0.17128063998600154
tenure_days,0.16973098897608913
total_errors,0.16400078157515433
avg_resolution_hours,0.1513364285331633
referral_source_partner,0.12763578918822166
support_tickets_count,0.11956090661465178
mrr_amount,0.11195076365118181
billing_frequency_monthly,0.11187047453271047
plan_tier_Pro,0.10744632001765114
plan_changes_count,0.10703337516087781
industry_DevTools,0.094279423786531
referral_source_other,0.09366154208547546
country_US,0.09052328323036919
referral_source_event,0.0824583658218841
industry_EdTech,0.07485731465314341
total_usage_events,0.07219242375796388
unique_features_used,0.06792929511914357
total_duration_secs,0.06397481435684681
upgrade_flag,0.059269402810021306
unique_days_active,0.05728581115310836
is_trial,0.04603282186878635
auto_renew_flag,0.041853975272761676
escalated_tickets,0.0416694125806843
industry_HealthTech,0.03841838935073946
country_UK,0.035172047365532116
preceding_downgrade_flag,0.030948220548759155
refund_amount_usd,0.028443806711987787
industry_FinTech,0.02257187567599264
country_CA,0.0184578311746357
country_DE,0.016439794489659557
country_IN,0.01348331927619262
is_reactivation,0.012943553475154029
downgrade_flag,0.010879985162823954
has_ticket,0.006393189417161233
has_support_contact,0.00629735980673914
country_FR,0.006085155221649554
preceding_upgrade_flag,0.004554455016612232
